# File: A221.bio_tech_prod.csv
# Title: Biomass Agricultural Production by Tech
# Units: EJ
# Description: Agricultural production by technology for biomass crops globally as a model output from V5.3 reference case
# Source: GCAM output
# Column types: ccccccnc
# ----------
scenario,region,sector,subsector,output,technology,2020,Units
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrCstNW,biomass,biomassTree_AfrCstNW_RFD_lo,3.48E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrIntN,biomass,biomassTree_AfrIntN_IRR_hi,0,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrIntN,biomass,biomassTree_AfrIntN_RFD_hi,0,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_AfrIntN,biomass,biomassTree_AfrIntN_RFD_lo,0,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_MeditS,biomass,biomassTree_MeditS_IRR_hi,2.01E-10,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_MeditS,biomass,biomassTree_MeditS_IRR_lo,1.21E-10,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_MeditS,biomass,biomassTree_MeditS_RFD_hi,1.86E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_MeditS,biomass,biomassTree_MeditS_RFD_lo,1.13E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_IRR_hi,2.52E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_IRR_lo,1.51E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_RFD_hi,1.55E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_RFD_lo,9.63E-09,EJ
