# File: A63.rsrc_curves.csv
# Title: Carbon storage resource supply curve points
# Comments: From Beerling et al (2021) source data.  https://doi.org/10.1038/s41586-020-2448-9 Median 2 C scenario. Regions not included in the Beerling study were scaled from those that were using total removal potential data from Streffler et al 2018
# Units: available: MtC cost: $1975/kg
# Column types: ccccnn
# ----------
resource,subresource,grade,region,available,cost
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Africa_Western,0.307175588,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Africa_Western,14.92728748,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Africa_Western,28.68579207,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Africa_Western,30.78026316,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Africa_Western,31.66088991,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Africa_Western,32.02940352,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Argentina,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Argentina,0.202644427,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Argentina,9.847565147,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Argentina,18.92408159,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Argentina,20.30580888,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Argentina,20.88676033,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Argentina,21.12986959,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Australia_NZ,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Australia_NZ,0.085785128,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Australia_NZ,4.168753388,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Australia_NZ,8.011100009,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Australia_NZ,8.596024328,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Australia_NZ,8.84195754,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Australia_NZ,8.944872576,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Central America and Caribbean,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Central America and Caribbean,0.052038868,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Central America and Caribbean,2.528843997,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Central America and Caribbean,4.859683527,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Central America and Caribbean,5.21450959,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Central America and Caribbean,5.36369729,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Central America and Caribbean,5.426127481,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Central Asia,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Central Asia,0.008056189,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Central Asia,0.391492836,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Central Asia,0.752332405,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Central Asia,0.807263379,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Central Asia,0.830359274,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Central Asia,0.840024153,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Colombia,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Colombia,0.072717609,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Colombia,3.53373345,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Colombia,6.790781187,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Colombia,7.286604863,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Colombia,7.495075438,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Colombia,7.582313582,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Europe_Eastern,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Europe_Eastern,0.164222305,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Europe_Eastern,7.980430892,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Europe_Eastern,15.33600673,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Europe_Eastern,16.45575349,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Europe_Eastern,16.92655442,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Europe_Eastern,17.12356928,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Europe_Non_EU,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Europe_Non_EU,0.02912622,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Europe_Non_EU,1.415397177,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Europe_Non_EU,2.719971004,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Europe_Non_EU,2.918567599,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Europe_Non_EU,3.002068143,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Europe_Non_EU,3.0370104,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,European Free Trade Association,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,European Free Trade Association,0.001239414,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,European Free Trade Association,0.060229667,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,European Free Trade Association,0.115743447,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,European Free Trade Association,0.124194366,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,European Free Trade Association,0.127747581,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,European Free Trade Association,0.129234485,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Japan,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Japan,0.054003022,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Japan,2.624292638,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Japan,5.043107333,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Japan,5.411325944,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Japan,5.566144581,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Japan,5.630931137,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Middle East,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Middle East,0.012305607,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Middle East,0.597994552,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Middle East,1.149167081,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Middle East,1.233072633,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Middle East,1.268350978,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Middle East,1.283113816,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Pakistan,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Pakistan,0.025142391,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Pakistan,1.221801818,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Pakistan,2.347938496,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Pakistan,2.519371423,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Pakistan,2.59145092,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Pakistan,2.621613841,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Russia,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Russia,0.281346892,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Russia,13.67213443,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Russia,26.27376247,0.155640516
